museumName,missing,not_missing,total,missing_rate
临沂市博物馆,0,30,30,0.0
即墨市博物馆,0,2,2,0.0
威海市文登区博物馆,0,6,6,0.0
日照市古代民俗博物馆,0,25,25,0.0
济南市莱芜区博物馆,0,1,1,0.0
济宁市博物馆,0,1,1,0.0
济南市长清区博物馆,0,1,1,0.0
济宁市兖州区博物馆,0,5,5,0.0
沂水县博物馆,0,1,1,0.0
泰安市博物馆,0,4,4,0.0
济南市博物馆,0,2,2,0.0
德州市博物馆,0,1,1,0.0
日照市博物馆,0,32,32,0.0
新泰市博物馆,0,1,1,0.0
惠民县博物馆,0,1,1,0.0
潍坊市博物馆,0,44,44,0.0
肥城市老城历史博物馆,0,6,6,0.0
诸城市博物馆,0,11,11,0.0
长岛县博物馆,0,2,2,0.0
章丘区博物馆,0,7,7,0.0
潍坊市寒亭区文物保管所,0,9,9,0.0
肥城市博物馆,0,6,6,0.0
青州市博物馆,0,5,5,0.0
邹城博物馆,0,2,2,0.0
聊城市博物馆,0,2,2,0.0
山东博物馆,1,128,129,0.007751937984496124
莒县博物馆,1,15,16,0.0625
城子崖遗址博物馆,3,34,37,0.08108108108108109
山东省文物考古研究所,8,51,59,0.13559322033898305
滕州市博物馆,1,4,5,0.2
安丘市博物馆,3,9,12,0.25
淄博市陶瓷博物馆,10,12,22,0.45454545454545453
山东大学博物馆,8,5,13,0.6153846153846154
寿光市博物馆,29,8,37,0.7837837837837838
滨州市博物馆,7,1,8,0.875
淄博市博物馆,21,3,24,0.875
聊城中国运河文化博物馆,8,1,9,0.8888888888888888
蓬莱古船博物馆,10,1,11,0.9090909090909091
临朐县博物馆,114,7,121,0.9421487603305785
烟台市牟平区博物馆,48,2,50,0.96
东营市历史博物馆,169,7,176,0.9602272727272727
沂源博物馆,33,1,34,0.9705882352941176
费县博物馆,171,5,176,0.9715909090909091
五莲县博物馆,171,4,175,0.9771428571428571
桓台县博物馆,645,10,655,0.9847328244274809
胶州市博物馆,330,3,333,0.990990990990991
孔子博物馆,121,0,121,1.0
岚山区博物馆,49,0,49,1.0
平阴县博物馆,2,0,2,1.0
枣庄市博物馆,1222,0,1222,1.0
平度市博物馆,44,0,44,1.0
平邑县博物馆,2,0,2,1.0
淄博市博山陶瓷琉璃艺术博物馆,103,0,103,1.0
王懿荣纪念馆,8,0,8,1.0
淄博市周村区文物管理所,1,0,1,1.0
淄川博物馆,7,0,7,1.0
烟台市博物馆,11,0,11,1.0
蓬莱市登州博物馆,2,0,2,1.0
茌平县文物管理所,1,0,1,1.0
莒南县博物馆,55,0,55,1.0
青岛市城阳区文物保护管理委员会办公室,2,0,2,1.0
青岛市黄岛区博物馆,180,0,180,1.0
