row_index_0_based,name,id,image_count,era,culture,decoration,shape_feature,texture,root_shape,condition
1925,新石器时代龙山文化黑陶罍,706643640068464fa36527aaa2b4ed12,13,新石器时代,龙山文化,,,黑陶,罍,完好
343,新石器时代龙山文化竹节筒陶杯,0F1CE998CD7540E6B84F6BC43691D104,2,新石器时代,龙山文化,,竹节筒,陶,杯,完好
429,新石器时代龙山文化黑陶罐,12FE14F006A247979DCD61EBFB1F82C2,4,新石器时代,龙山文化,,,黑陶,罐,完好
712,新石器时代龙山文化陶纺轮,245B2DAFBFD6407095AE687F31AA391C,3,新石器时代,龙山文化,,,陶,纺轮,完好
2794,新石器时代龙山文化黑褐色陶罐（残）,A85DA6DBEF5740509EAC755BEC38E838,2,新石器时代,龙山文化,,,黑褐色陶,罐,残
1402,新石器时代大汶口文化灰陶坠饰,4C6D65712E6B496A8A518CFC80E375B9,2,新石器时代,大汶口文化,,,灰陶,坠饰,完好
436,新石器时代大汶口文化彩绘红陶双耳罐,1354121A87774F0DB0FA2623C8A5F526,4,新石器时代,大汶口文化,彩绘,双耳,红陶,罐,完好
2815,新石器时代大汶口文化黑衣红褐陶镂孔高柄豆,A944BE9B81D44644BC56846035D7767F,8,新石器时代,大汶口文化,"黑衣, 镂孔",高柄,红褐陶,豆,完好
2613,新石器时代大汶口文化大口红陶尊,9C3B120B017F4E859D431486B47D3DAD,6,新石器时代,大汶口文化,,大口,红陶,尊,完好
1314,新石器时代大汶口文化红褐陶瓶,4681B315D9D744378D9791C50FC021DB,6,新石器时代,大汶口文化,,,红褐陶,瓶,完好
300,新石器时代大汶口文化灰陶罐,0BE9BC9D3FA84569A4FA933F8B805F6F,6,新石器时代,大汶口文化,,,灰陶,罐,完好
1796,新石器时代龙山文化黑陶盆,67FF6DBA9F7447BE81F03C0A61B8E177,6,新石器时代,龙山文化,,,黑陶,盆,完好
155,新石器时代龙山文化陶鬲,0422EA0116B84FAABD7383B9DA277ED4,4,新石器时代,龙山文化,,,陶,鬲,完好
2898,新石器时代大汶口文化灰陶环,AF42A5BF0D8340519EBBC8BD3D30B7FD,3,新石器时代,大汶口文化,,,灰陶,环,完好
1030,新石器时代大汶口文化白陶单把杯,3700000201862104B100421090530656,12,新石器时代,大汶口文化,,单把,白陶,杯,完好
3111,新石器时代大汶口文化灰陶高柄杯,BF2D3744FE10452AB2F795DCCE2C51FB,6,新石器时代,大汶口文化,,高柄,灰陶,杯,完好
3478,新石器时代大汶口文化陶支座,DD43A906B8B041329B1D4BED17C807B4,4,新石器时代,大汶口文化,,,陶,支座,完好
2947,新石器时代大汶口文化陶豆,B34252D527AC40AE8A27E1303CBB12F5,4,新石器时代,大汶口文化,,,陶,豆,完好
1759,新石器时代大汶口文化双耳红陶鼎,6566D382DABC4EBA81CB7D1DAE0497BD,5,新石器时代,大汶口文化,,双耳,红陶,鼎,完好
2127,新石器时代大汶口文化红陶双耳壶,7F116591D973435E98BEE822B6ABBDBB,3,新石器时代,大汶口文化,,双耳,红陶,壶,完好
2640,新石器时代大汶口文化夹砂红褐陶罐,9E5C3DE70C6546A98A95E0F4BB163813,6,新石器时代,大汶口文化,,,夹砂红褐陶,罐,完好
1421,新石器时代大汶口文化灰陶筒形杯,4E110E0F161B45F1A3FF09EE09B44951,6,新石器时代,大汶口文化,,筒形,灰陶,杯,完好
1872,新石器时代大汶口文化灰陶罐,6D19576D5682400F8F0ED13B3D001A11,7,新石器时代,大汶口文化,,,灰陶,罐,完好
2868,新石器时代大汶口文化陶纺轮,ACEDB9972ED34AC580CA0FD848D6BF07,4,新石器时代,大汶口文化,,,陶,纺轮,完好
2423,新石器时代大汶口文化陶罐,8f736b754e594709860317748cefa264,4,新石器时代,大汶口文化,,,陶,罐,完好
3434,新石器时代龙山文化白陶觚,D9E25ACF57014889BFC86C45C893AA2F,3,新石器时代,龙山文化,,,白陶,觚,完好
1339,新石器时代大汶口文化红陶鼎,485799E3990F4E43B0266275C8020098,3,新石器时代,大汶口文化,,,红陶,鼎,完好
564,新石器时代夹砂陶碗,1D20CCA2E3EC4A60BFA6365F16426ACF,6,新石器时代,,,,夹砂陶,碗,完好
2326,新石器时代龙山文化夹砂褐陶器盖,8986BD18AAE04664B9553E731BED217F,6,新石器时代,龙山文化,,,夹砂褐陶,器盖,完好
551,新石器时代龙山文化黑陶器盖,1C1364B1697A49DE8DE8A3C3653076EE,6,新石器时代,龙山文化,,,黑陶,器盖,完好
2765,新石器时代龙山文化黑陶双耳罐,A6137DF16FF842189E3AC6ABCD889939,3,新石器时代,龙山文化,,双耳,黑陶,罐,完好
312,新石器时代龙山文化蛋壳陶杯,0C60D4D4256B4C428B31C7BD6E471C06,6,新石器时代,龙山文化,,蛋壳,陶,杯,完好
