id,name,fullDesc,raw_size_in_desc,dimensionsDesc,final_dimensions_desc
01210ea5cbb14a6ea6de870299758873,新石器时代龙山文化黑陶觯,新石器时代龙山文化，饮酒器。泥质黑陶，侈口圆唇，高颈，鼓腹下收，小平底。口径6.6cm、底径4.1cm、高14cm，重190g。1979年于日照尧王城遗址发掘，日照市博物馆收藏。国家二级文物。,口径6.6cm、底径4.1cm、高14cm，重190g,高*口径*底径：14*6.6*4.1,高*口径*底径：14*6.6*4.1
063f04237365413588b166fadfa28e1c,新石器时代大汶口文化刻陶文“钺”“拍”灰陶尊,为新石器时代大汶口文化陶尊。1960年莒县陵阳河遗址出土。通高63厘米、口径39厘米、壁厚2.4厘米。保存较好。夹砂黄褐陶。折沿，深直腹，尖底，口沿下和腹下各饰两道凹弦纹，弦纹间饰有两周圆圈纹。通体饰篮纹。腹部刻有符号“钺”形，另一面刻有“拍”形。陶文“钺”的造型像是一把长柄的斧头，是用于砍杀的兵器，也是权势的象征，又涂有朱红，以增加了神秘色彩。墓主人以此来陪葬，生前可能是一位军事首领。从发掘墓葬出土的人体多为不全者来看，这意味着在5000年前，部落之间的战争打斗已经相当残酷。这个陶文，或许就是战争指挥者将兵器的形状摹刻下来，用以祭祀战争胜利的祭文。著名的古文字学家唐兰先生将这个陶文解释为斧钺钩叉的“钺”字。,通高63厘米、口径39厘米、壁厚2.4厘米,高67、口径32、壁厚2.4,高67、口径32、壁厚2.4（另有人测得通高63，口径39）
06b6eb96528a4fe68887b0658eeaaf78,新石器时代龙山文化陶鬶,侈口，口沿下饰两周不透镂孔，一道凸玄纹至流两侧并饰有乳钉纹，鸟啄形流上仰，颈呈筒形，颈腹分界明显，乳状袋足，绳索状鋬，腹上两侧饰盲鼻，并饰一周凸玄纹。通高36.8厘米，口径11.6厘米，重1.09千克。沂水县杨庄镇杨庄村出土。,通高36.8厘米，口径11.6厘米，重1.09千克,通高36.8厘米，口径11.6厘米,通高36.8厘米，口径11.6厘米
07b866fcbb5547bd80a464f74fa0fbc0,新石器时代龙山文化黑陶壶,新石器时代龙山文化，酒器或水器。泥质黑陶，侈口，圆唇，高领，鼓腹，腹上部饰二道凹弦纹及二个对称的横耳，鼓腹下收，小平底。口径8.4cm、底径5.5cm、腹径11.9cm、高16.6cm，重366g。采集于日照两城镇遗址，日照市博物馆收藏。国家二级文物。,口径8.4cm、底径5.5cm、腹径11.9cm、高16.6cm，重366g,高*口径*底径*腹径：16.6*8.4*5.5*11.9,高*口径*底径*腹径：16.6*8.4*5.5*11.9
09053083EC594D80BF074EBF18C9994B,新石器时代大汶口文化附加堆纹夹砂红陶三足鼎,"新石器时代大汶口文化时期
未定级
2012年出土于界石旸里店遗址，现藏威海市文登区博物馆。
明器，陶质。夹砂红褐陶，尖唇，折沿，略鼓腹，裆略平，柱状足，两足略残，下腹部饰1圈弦纹。口径10.4厘米，腹径11.6厘米，柱足长4.4厘米，通高12.2厘米。",口径10.4厘米，腹径11.6厘米，柱足长4.4厘米，通高12.2厘米。,,口径10.4厘米，腹径11.6厘米，柱足长4.4厘米，通高12.2厘米。
0FF15D85DEE4496C935EA878318BA2D5,环状兽形鬶,"通高10厘米  直径18.8厘米  重0.854千克
泥质红陶
胶州市三里河遗址出土。颈、流部残缺。鬹体为筒状圜圈成周，正前饰有“龟缩”状小兽首，既生动有趣又使兽首外出大小与整体相统一。兽首之上是颈、流，用夸张的手法将尾梢向前卷，与口流连接形成提梁，既增加了鬹的牢固度，又弥补了口流过高的缺陷，使整个造型高度自然适中，安排之巧，恰到好处。尾下部塑有象征雄性的生殖器，亦起到了点缀作用。这样兽首、口流、提梁和生殖器在平面上形成了一条中心线，而四个兽蹄状实心足均衡地分列在这条中心线两侧形成一个方形，与圆形鬹体形成一个完美的整体。",通高10厘米  直径18.8厘米  重0.854千克,通高10，口流20.4，鬶体周长60.7,通高10，口流20.4，鬶体周长60.7，直径18.8cm
0e17c26e26d4481c80697ebb7fff3a28,大汶口文化褐陶鬶,"     1976年9月出土于火山埠遗址
     高21.6厘米",高21.6厘米,,高21.6厘米
0ed8ec95633f4f9db2f818f0360a9cb7,新石器时代龙山文化黑陶罐,新石器时代龙山文化，盛贮器。泥质黑陶，折沿方唇，矮颈，折肩，腹下收，平底，器身自上而下饰五道凸棱。口径12.5 cm、底径8cm、高18cm，重361g。2001年出土于日照两城镇遗址，日照市博物馆收藏。国家二级文物。,口径12.5 cm、底径8cm、高18cm，重361g,高18，口径12.5，底径8,高18，口径12.5，底径8
10145037b74543df9033236620d1bb54,新石器时代陶鼎,通高13.8厘米，足高4.6厘米，口径15.3厘米。,通高13.8厘米，足高4.6厘米，口径15.3厘米。,口径15.3，通高13.8，足高4.6,口径15.3，通高13.8，足高4.6
120c1080a3474813b86cda06a26d149e,新石器时代大汶口文化刻陶文“斤”灰陶尊,礼器。新石器时代大汶口文化遗存。1960年莒县陵阳河遗址出土。夹砂灰陶。方唇，折沿，深直腹，尖底，腹下饰有两道凸弦纹，腹上部刻有“斤”形，通体饰篮纹。通高54、口径37、壁厚1.2厘米。保存较好。,通高54、口径37、壁厚1.2厘米,,通高54、口径37、壁厚1.2厘米
