row_number,id,name,pictureIds_count,local_paths_count
3,4359f2f7976c40dca101745c5eefdd91,新石器时代大汶口文化彩陶壶,5,0
5,4ceb071bf4b941238c115bce1be04f90,新石器时代龙山文化弦纹红陶鬶,24,0
6,75CE68ADA9244799B393E817E1211FE6,新石器时代大汶口文化彩陶钵,5,0
14,0e17c26e26d4481c80697ebb7fff3a28,大汶口文化褐陶鬶,1,0
40,43bef139edeb44f4845b2e869576df1d,龙山文化中晚期黑陶罍,1,0
51,59b2cf50d43545a8ae12e263cf4a6a35,大汶口文化彩陶壶,1,0
56,75b16c6c35eb4c08ac2f19e2939ce38c,大汶口文化晚期白陶高炳杯,1,0
59,7db8cb2d4594444d8ef36f8bc18436d6,龙山文化蛋壳陶杯蛋壳陶杯,1,0
67,9aa49e35723d4d21ad10428348eeb45c,龙山文化白陶鬶,1,0
71,a220533e828e4959a6ebbc719c7e7250,新石器时代龙山文化太阳纹陶片,1,0
85,c63903fe68f344b490a66739058de72a,新石器时代大汶口文化黑陶豆,1,0
254,09053083EC594D80BF074EBF18C9994B,新石器时代大汶口文化附加堆纹夹砂红陶三足鼎,10,0
264,0973592EC7214E4AB19CC546F96EC5A1,新石器时代龙山文化白陶鬶,8,0
279,0AA0F3F1420F49608A1BFBC28F05DF40,新石器时代大汶口文化灰陶纺轮,4,0
290,0B6AAA778F654B1C9A11D284E875959E,新石器时代红陶鬶（残）,6,0
293,0B8E8BB682FA48698A8D4887551A0299,新石器时代大汶口文化红陶壶,3,0
304,0C0E17313AE5413D94EBD678DFA85A3F,新石器时代大汶口文化红陶高柄杯,6,0
305,0C11BEB637184C0CA139660FE342BD90,新石器时代龙山文化黑陶碗,3,0
415,120c1080a3474813b86cda06a26d149e,新石器时代大汶口文化刻陶文“斤”灰陶尊,7,0
429,12C179449C234E95A0030210337B47FD,新石器时代龙山文化黑陶盘形鼎,5,0
430,12CFF8EC67254B50B4CE2FAE3B35B301,新石器时代龙山文化黄陶罐,3,0
441,13BE8BF22F9D423883EA68E5E816C3F9,新石器时代龙山文化黑陶三足器,4,0
446,13FCC7F2A49143A3A0A3B7CEA2160EE8,新石器时代陶纺轮,7,0
452,1447e1a51961485bb4798b5069c65d75,新石器时代龙山文化灰陶缸,4,0
484,16DA40501F17444090ADD20B99FAD9CA,新石器时代龙山文化猪型畜舍冥器,7,0
534,1A484569186B4785913DE76AE8DD8A3D,新石器时代灰陶器盖,5,0
613,1FEDE35FC0404226A6673FE248E66CEA,新石器时代龙山文化红褐色陶碗,5,0
614,1FF9A25A47294EDDB87696E0D3540BB9,新石器时代大汶口文化灰陶镂空高柄杯,6,0
630,1e38b43503e54ac1bb86c12281e45ae8,新石器时代龙山文化灰陶鬲,26,0
635,1f0275355ae04096b0ac204ae4d28413,新石器时代大汶口文化褐陶鼎,6,0
827,2DAD0C9C295D4A5A920E8D81FA7C4753,新石器时代大汶口文化红陶盉,6,0
829,2DC76A7AC75E44BE88A6629A510D7B14,新石器时代黑陶杯,6,0
839,2E8C0422514244DE9E4AD25FB87A54DD,新石器时代大汶口文化夹砂褐陶筒形杯,6,0
946,350B8263B7A94EDFAC89BC0973D1312D,新石器时代大汶口文化陶壶,6,0
1042,3700000201862104B100422111911062,新石器时代大汶口文化彩陶盉,8,0
1057,3700000201862104B100423110822937,新石器时代龙山文化蛋壳黑陶高柄镂孔杯,6,0
1064,3700000201862104B100424102035706,新石器时代大汶口文化灰陶盘式镂孔豆,4,0
1125,39BC05DC42B6411B848971156E967885,新石器时代大汶口文化红陶鬶,3,0
1331,47DA1C7E328E40BF993E261E4F32EF39,新石器时代大汶口文化夹砂红褐陶罐,6,0
1369,49d860fd15d747aabe793ebe22f30a73,新石器时代龙山文化夹砂黑陶罐,7,0
1389,4BA5A393767947368E21EB3B7BAC6835,新石器时代大汶口文化黑皮灰陶瓶,6,0
1401,4C507378FB784AF0A09A94A5DD5493FB,新石器时代大汶口文化镂空白陶豆,4,0
1445,4b7301be8bd1439fa6478adc0fea50fa,新石器时代大汶口文化红陶高足豆,12,0
1488,524B4D797283430493772137E0323297,新石器时代龙山文化蛋壳黑陶杯,7,0
1509,53F3338BA6184643B8D7BE5A7330D37D,新石器时代龙山文化灰陶罐,3,0
1543,55c5e0649e394bb4b7d65bba59650ee2,新石器时代大汶口文化网纹彩绘红陶壶,6,0
1699,6137EB8EE4E04309BAD70CA14BA12EF0,新石器时代夹砂黑陶鼎,6,0
1743,641dbf8cec78417e90753d125706645f,新石器时代大汶口红陶鬶,11,0
1784,673181EA571F4644AE7FFA2D4258335D,新石器时代龙山文化黑陶高领罐,5,0
1868,6CDF62C7672349F3AA1BD1C58F5E19E4,新石器时代黑陶杯,6,0
1870,6CEABA263261445C8073BA703B59A56E,新石器时代大汶口文化黑衣灰陶瓶,6,0
1897,6DEDA9B028444D6E931F976C5C03CD66,新石器时代黑陶罐,5,0
2029,781BA014ADF64CFAB4E9AC876A0ACFB1,新石器时代大汶口文化夹砂红褐陶高柄杯,6,0
2035,7883B18D28A74A75A7DA49EFE01EA57B,新石器时代大汶口文化黑衣红褐陶瓮,7,0
2142,7FD3C72FCAD44BBB9D816271211F255A,新石器时代龙山文化陶鬶,6,0
2167,80A3CEFF7C1347F1BFADE27255ACD6D5,新石器时代龙山文化黑陶单耳杯,3,0
2176,815470e4c0214813a8aeb8aa1e58a1bf,新石器时代大汶口文化陶釜形鼎,14,0
2177,815E43217E724A6DA87E50F320BF44DD,新石器时代大汶口文化红陶罐,3,0
2178,8183668D754548FF9A0F454B8C853E33,新石器时代大汶口文化灰褐陶瓮,6,0
2179,81D2FBDF62C44EEABD9183C4D5222381,新石器时代大汶口文化红陶壶,1,0
2244,856E3B25521E4DEFA54673BEFBAE7375,新石器时代龙山文化蛋壳黑陶杯,7,0
2293,87b189b7df94410b8116edd02d941a61,新石器时代龙山文化镂空红陶支座,1,0
2295,87ef3b7eb0574f0c894b47127533471f,新石器时代大汶口文化红陶鬶,6,0
2297,8813991421974fc6ae985b8e56f98e7b,新石器时代大汶口文化刻陶文“拍”“丁”灰陶尊,8,0
2302,885B8682DF9A4D28B4DC3343F4963821,新石器时代大汶口文化几何纹彩陶钵,1,0
2305,8865D3455E9A4FCA8FFD4F68E3848373,新石器时代大汶口文化灰陶尊,7,0
2312,88CB4DB26DBE4C888438780BDAC55397,新石器时代大汶口文化泥质红陶钵形鼎,6,0
2317,88FF263FF7424D08BCC448EACA95B6C3,新石器时代龙山文化褐陶鬹,7,0
2319,890497D589D642B6A32D8A7B4F403E1B,新石器时代北辛文化夹砂红褐陶鼎,5,0
2404,8F370A4FC8C246CE91B80091365840C3,新石器时代大汶口文化灰褐陶高柄杯,4,0
2407,8F537D02993F472CA3047B2F6A29CEA8,新石器时代大汶口文化灰陶杯,3,0
2419,8c4cf33278384c3e8813e49bc0d26ffc,新石器时代大汶口文化三足红陶鼎,12,0
2492,939D702F00B4400CA9FFEB19ED970ADD,新石器时代大汶口文化黑灰陶器,5,0
2501,9425B516AC494DF5A4C3C61FB49A9128,新石器时代龙山文化黑陶觯形壶,3,0
2504,9437245C7AC548AB93B3F86AE1E94499,新石器时代大汶口文化高柄陶杯,3,0
2543,97AA9DF8C0CC4BA49077D36BABD0B781,新石器时代大汶口文化灰陶鼎,6,0
2708,A1DC614851D44890A9DFE94D28AB5D66,新石器时代龙山文化陶纺轮,2,0
2718,A2B01B8F5D004B968216D5628B0F276C,新石器时代大汶口文化夹砂红陶高柄杯,4,0
2754,A57468C29FAA4470B7523791BE98EDDA,新石器时代大汶口文化灰陶器盖,6,0
2839,AAD8E7923FD242B8995A6A8ADCF08DD7,新石器时代龙山文化黑陶觯形壶,3,0
2840,AAF99A19F09541F7B5021158B18A8D9F,新石器时代龙山文化黑陶高柄杯,6,0
2846,AB5F17EE02264A1E8C38A66DA33A104A,新石器时代龙山文化黑陶碗,3,0
2854,ABE33DEB2BF94D3B95A313E93F60DB71,新石器时代大汶口文化灰陶罐,6,0
2954,B3EA2D369F7747E8A8B5C0402F536A58,新石器时代大汶口文化灰陶器盖,5,0
3203,C625AA3599FD4615B7E931C85E08BC7D,新石器时代大汶口文化灰陶筒形杯,6,0
3205,C63E45DE6BB043A1B4C0CA37C96ADF26,新石器时代龙山文化陶鼎,3,0
3217,C7831D5C658343CBA34E658AC5054DC9,新石器时代夹砂灰陶罐,6,0
3322,D16E357269334D1790B12D40FD77DD1C,新石器时代大汶口文化灰陶罐,7,0
3336,D274D15D7D1B4509A0982775B33EE841,新石器时代大汶口文化灰陶罐,6,0
3342,D2DFF498641146DCBFAE2F792D26F4DA,新石器时代大汶口文化彩陶钵,3,0
3367,D48E9A7A033446E19C275CCDED2E8E64,新石器时代大汶口文化彩陶双耳壶,3,0
3368,D4A2FF23B34C49B4A532B9D424AC210A,新石器时代大汶口文化彩绘红陶豆,3,0
3493,DE222F8E2EC64713AADFD70C13E35FEC,新石器时代龙山文化黑陶单耳三足杯,6,0
3541,E1B0C93B28B84F4A942F46E1DAA27A10,新石器时代大汶口文化彩陶罐,3,0
3557,E366A4521046426CB8F764C5617203B5,新石器时代龙山文化绳纹陶鬲,4,0
3762,F5152A89033B46C0A2239DF5A7049D8B,新石器时代龙山文化黑陶壶,4,0
3898,a2f3d22a10d54705afdb85e73aaff31b,新石器时代龙山文化灰陶罐,2,0
3959,b9491322a62540e6ad5cc7303e2b05fa,新石器时代龙山文化黑陶杯,6,0
